Id,AccountId,Name,Amount,CurrencyIsoCode,StageName,CreatedDate,CloseDate,IsClosed,IsWon
006_ijc70tbnsyzyh9,001_gpctj29fze6utn,Deal - Expansion,6910.58,EUR,Closed Won,2023-09-14,2023-12-23,True,True
006_tnzj7415k51pb9,001_8htrlcsjlsihpd,Deal - Expansion,17507.89,EUR,Closed Won,2024-02-21,2024-05-06,True,True
006_z3teaxh610u3hu,001_co62fhd1jbqlg1,Deal - New,26097.76,USD,Closed Lost,2024-08-23,2024-12-05,True,False
006_35knb77lhrymni,001_7mwzg4iv6ylq5z,Deal - Renewal,9604.02,USD,Closed Won,2023-08-04,2023-09-26,True,True
006_iaso905w31gpur,001_1c3ruakzgnmx36,Deal - Expansion,11028.59,USD,Closed Lost,2023-08-26,2023-11-30,True,False
006_zlv99sf42wxpt9,001_wjbx0l7qjojjxv,Deal - New,6795.0,USD,Closed Lost,2023-12-01,2024-03-21,True,False
006_qzvtjck8ozloce,001_g1i3qbj7wujl72,Deal - New,11862.17,USD,Closed Won,2025-07-04,2025-09-04,True,True
006_6yxac6i2s80baq,001_fef1vlhwepfsos,Deal - Renewal,14059.22,GBP,Closed Won,2025-03-02,2025-03-16,True,True
006_l3vx8oefugkuoz,001_02ylge9r1d9elu,Deal - New,37964.61,USD,Proposal,2025-02-15,,False,False
006_2lkkaq13zm51p1,001_givddkk6mbfn4f,Deal - New,27448.28,USD,Negotiation,2024-09-24,,False,False
006_iv9r7vno0fxvar,001_5ciu2hc89i5ywy,Deal - Renewal,11550.09,USD,Closed Lost,2024-02-22,2024-04-20,True,False
006_irk6ef5zp94rt3,001_9dbcf09hreho3f,Deal - Expansion,31634.46,USD,Closed Won,2024-10-09,2024-11-27,True,True
006_p48ri7l2mjpuca,001_3tz1kvms5vz7dx,Deal - New,15707.13,USD,Closed Won,2024-02-09,2024-03-12,True,True
006_af7mys29y3tptp,001_xlo73aq07s3no8,Deal - Expansion,16886.35,EUR,Closed Won,2025-06-03,2025-09-03,True,True
006_neek6xpdfmjdeg,001_angsn3srjwcjo9,Deal - New,6384.47,GBP,Closed Won,2023-01-11,2023-03-24,True,True
006_s4hzml01o867ry,001_lyiu97p2z5o5pu,Deal - New,10864.79,USD,Closed Won,2023-02-06,2023-05-29,True,True
006_krf1oksod4h91w,001_g5hrz4a0ch5zv9,Deal - Expansion,12476.15,EUR,Proposal,2025-06-17,,False,False
006_i20vh7ddgu2715,001_dtpjsnek7y6z8e,Deal - New,16791.44,GBP,Closed Lost,2025-06-29,2025-09-07,True,False
006_6rx49m1r6n9vf3,001_gnsxy5g06g1sbi,Deal - Renewal,13839.95,EUR,Proposal,2024-08-28,,False,False
006_hzyujn6ivj7r3w,001_4gkew6gons2drm,Deal - Renewal,9386.31,USD,Closed Won,2024-01-15,2024-02-23,True,True
006_4liu84d9ry4lne,001_iceq6qekiurls8,Deal - New,8267.33,USD,Negotiation,2025-06-03,,False,False
006_ja1fxqj1kubeqy,001_uvo804wu9djdq1,Deal - Expansion,5046.07,USD,Qualified,2024-03-21,,False,False
006_d0gl9lyprkmcor,001_uouv8uh8e38mi7,Deal - Renewal,8793.9,USD,Qualified,2024-01-14,,False,False
006_w7jksumpnc4263,001_vn9scj4rf2rl9f,Deal - Expansion,11053.41,AED,Qualified,2023-05-15,,False,False
006_fuxmn026zrktpw,001_jf60fuk8z44ri6,Deal - Expansion,11506.63,GBP,Negotiation,2023-12-29,,False,False
006_sd2fa4qyb22gul,001_0qaiazvwokvh50,Deal - Expansion,10404.17,EUR,Proposal,2025-02-22,,False,False
006_6erjywsptcfaau,001_ic8nlm6srtk7gy,Deal - Expansion,33751.98,AED,Closed Won,2023-02-21,2023-05-01,True,True
006_ozyt82vdjv4c57,001_5yqwvet5b9gglm,Deal - Expansion,32511.24,AED,Proposal,2023-07-05,,False,False
006_mq4j87zw9bsxmd,001_f1ujcjbj9zsepz,Deal - New,11863.0,USD,Closed Won,2025-07-01,2025-07-29,True,True
006_yyratsdp1h20my,001_i8mgk0ixf6cgkv,Deal - Renewal,37076.79,USD,Qualified,2024-10-22,,False,False
006_moeja0bhmd39w5,001_efh6o05vany2su,Deal - Renewal,19403.5,USD,Closed Lost,2025-09-21,2025-11-12,True,False
006_iuc93qv82exm5e,001_2nl57xi4nnab5o,Deal - New,12202.57,USD,Closed Lost,2023-02-25,2023-06-06,True,False
006_dr8r1pc7lhyva8,001_l1isqdsft27hdu,Deal - Renewal,15480.53,AED,Negotiation,2023-10-24,,False,False
006_dkqa0tq7chhb8w,001_pgn2v1p67wi9t8,Deal - Expansion,29085.81,USD,Negotiation,2023-04-30,,False,False
006_ch9j7o0otpetmx,001_y2qg8vlkjltgna,Deal - Expansion,13736.81,USD,Closed Won,2024-10-13,2024-11-18,True,True
006_6s7lfgpx0nlsic,001_eaik4tnbe7ei8f,Deal - New,9921.18,USD,Negotiation,2024-09-05,,False,False
006_9a0rb5b08yykxb,001_me8yid63hqaqas,Deal - Expansion,8729.77,USD,Closed Lost,2024-09-03,2024-12-20,True,False
006_6tvluex47hy8zf,001_me8yid63hqaqas,Deal - Expansion,18060.95,USD,Closed Lost,2025-07-15,2025-09-21,True,False
006_lhfoech85ridqv,001_dtpjsnek7y6z8e,Deal - Renewal,15283.26,USD,Closed Lost,2024-11-07,2024-12-18,True,False
006_sbd00phvcecl15,001_lzphpk4pigohip,Deal - Renewal,10140.02,GBP,Closed Lost,2024-04-18,2024-07-13,True,False
006_01t2hcmk3ptn6w,001_3uikxdj8iqstza,Deal - Expansion,12327.48,AED,Proposal,2025-09-30,,False,False
006_a4m69ffh2goply,001_zhx9jj2scykobi,Deal - Renewal,5295.27,USD,Closed Lost,2024-05-18,2024-08-20,True,False
006_hn3v3squjmvgjg,001_fef1vlhwepfsos,Deal - Expansion,20266.04,USD,Closed Lost,2023-03-07,2023-05-29,True,False
006_97fnrfv62ly1cq,001_e0cvn9szw5wan9,Deal - Renewal,13350.3,USD,Proposal,2024-04-22,,False,False
006_nynrotsdarl7dw,001_zotujb1jz4bmef,Deal - New,61946.52,EUR,Closed Lost,2025-05-21,2025-09-05,True,False
006_4xpj4jqg57mb0h,001_lzphpk4pigohip,Deal - Expansion,8362.13,USD,Closed Won,2024-08-21,2024-11-16,True,True
006_3g7s1py5echof0,001_vdq5yxg7fsye4i,Deal - New,18915.18,EUR,Closed Won,2024-04-22,2024-08-19,True,True
006_nvut4p1o594e72,001_6xpsfva5o38z7h,Deal - Renewal,14987.27,USD,Closed Lost,2025-01-24,2025-05-06,True,False
006_du8tvce9eo5tkg,001_6xpsfva5o38z7h,Deal - New,18863.65,USD,Proposal,2024-03-03,,False,False
006_k59m8pu5hv58xx,001_bf67b7efvppv6s,Deal - Renewal,11799.5,USD,Closed Lost,2023-12-06,2024-02-23,True,False
006_jb5td9or43ovrv,001_8h755n7te4hx4v,Deal - New,14520.66,USD,Negotiation,2024-03-10,,False,False
006_dr1d97ew9lgrmd,001_77bd1pixexm0rm,Deal - Expansion,5105.15,USD,Closed Lost,2025-03-26,2025-07-13,True,False
006_y7o3vxbicxw4ez,001_fdots6hqnxg5a7,Deal - Expansion,11263.17,USD,Closed Won,2025-07-26,2025-08-18,True,True
006_f5m1twykuh41u0,001_mvu94200rf864l,Deal - Renewal,31737.41,USD,Negotiation,2023-02-18,,False,False
006_reumwwlzy7t8tr,001_kmgnvda1mkx9a5,Deal - Renewal,3094.18,USD,Closed Lost,2024-08-14,2024-10-08,True,False
006_61msvlh72ledj8,001_724sjatk992yxe,Deal - New,19612.12,USD,Negotiation,2023-12-04,,False,False
