OpportunityId,StageName,CreatedDate
006_ijc70tbnsyzyh9,Prospecting,2023-09-27
006_ijc70tbnsyzyh9,Qualified,2023-10-02
006_ijc70tbnsyzyh9,Proposal,2023-10-17
006_ijc70tbnsyzyh9,Negotiation,2023-10-27
006_ijc70tbnsyzyh9,Closed Won,2023-11-15
006_tnzj7415k51pb9,Prospecting,2024-03-09
006_tnzj7415k51pb9,Qualified,2024-03-27
006_tnzj7415k51pb9,Proposal,2024-04-04
006_tnzj7415k51pb9,Negotiation,2024-04-24
006_tnzj7415k51pb9,Closed Won,2024-05-07
006_z3teaxh610u3hu,Prospecting,2024-08-27
006_z3teaxh610u3hu,Qualified,2024-09-07
006_z3teaxh610u3hu,Proposal,2024-09-15
006_z3teaxh610u3hu,Negotiation,2024-10-08
006_z3teaxh610u3hu,Closed Lost,2024-10-29
006_35knb77lhrymni,Prospecting,2023-08-19
006_35knb77lhrymni,Qualified,2023-09-06
006_35knb77lhrymni,Proposal,2023-09-12
006_35knb77lhrymni,Negotiation,2023-09-17
006_35knb77lhrymni,Closed Won,2023-09-28
006_iaso905w31gpur,Prospecting,2023-09-16
006_iaso905w31gpur,Qualified,2023-10-01
006_iaso905w31gpur,Proposal,2023-10-21
006_iaso905w31gpur,Negotiation,2023-10-28
006_iaso905w31gpur,Closed Lost,2023-11-17
006_zlv99sf42wxpt9,Prospecting,2023-12-17
006_zlv99sf42wxpt9,Qualified,2024-01-05
006_zlv99sf42wxpt9,Proposal,2024-01-20
006_zlv99sf42wxpt9,Negotiation,2024-02-12
006_zlv99sf42wxpt9,Closed Lost,2024-02-21
006_qzvtjck8ozloce,Prospecting,2025-07-11
006_qzvtjck8ozloce,Qualified,2025-07-21
006_qzvtjck8ozloce,Proposal,2025-07-25
006_qzvtjck8ozloce,Negotiation,2025-08-13
006_qzvtjck8ozloce,Closed Won,2025-08-18
006_6yxac6i2s80baq,Prospecting,2025-03-14
006_6yxac6i2s80baq,Qualified,2025-04-02
006_6yxac6i2s80baq,Proposal,2025-04-25
006_6yxac6i2s80baq,Negotiation,2025-04-30
006_6yxac6i2s80baq,Closed Won,2025-05-12
006_l3vx8oefugkuoz,Prospecting,2025-02-26
006_l3vx8oefugkuoz,Qualified,2025-03-22
006_l3vx8oefugkuoz,Proposal,2025-04-08
006_2lkkaq13zm51p1,Prospecting,2024-10-10
006_2lkkaq13zm51p1,Qualified,2024-10-26
006_2lkkaq13zm51p1,Proposal,2024-11-18
006_2lkkaq13zm51p1,Negotiation,2024-12-10
006_iv9r7vno0fxvar,Prospecting,2024-03-04
006_iv9r7vno0fxvar,Qualified,2024-03-17
006_iv9r7vno0fxvar,Proposal,2024-03-20
006_iv9r7vno0fxvar,Negotiation,2024-04-03
006_iv9r7vno0fxvar,Closed Lost,2024-04-06
006_irk6ef5zp94rt3,Prospecting,2024-10-14
006_irk6ef5zp94rt3,Qualified,2024-11-07
006_irk6ef5zp94rt3,Proposal,2024-11-17
006_irk6ef5zp94rt3,Negotiation,2024-12-03
006_irk6ef5zp94rt3,Closed Won,2024-12-07
006_p48ri7l2mjpuca,Prospecting,2024-02-23
006_p48ri7l2mjpuca,Qualified,2024-03-17
006_p48ri7l2mjpuca,Proposal,2024-03-28
006_p48ri7l2mjpuca,Negotiation,2024-04-16
006_p48ri7l2mjpuca,Closed Won,2024-04-27
006_af7mys29y3tptp,Prospecting,2025-06-18
006_af7mys29y3tptp,Qualified,2025-06-29
006_af7mys29y3tptp,Proposal,2025-07-17
006_af7mys29y3tptp,Negotiation,2025-07-29
006_af7mys29y3tptp,Closed Won,2025-08-18
006_neek6xpdfmjdeg,Prospecting,2023-01-27
006_neek6xpdfmjdeg,Qualified,2023-02-14
006_neek6xpdfmjdeg,Proposal,2023-02-26
006_neek6xpdfmjdeg,Negotiation,2023-03-01
006_neek6xpdfmjdeg,Closed Won,2023-03-21
006_s4hzml01o867ry,Prospecting,2023-02-14
006_s4hzml01o867ry,Qualified,2023-02-27
006_s4hzml01o867ry,Proposal,2023-03-18
006_s4hzml01o867ry,Negotiation,2023-04-10
006_s4hzml01o867ry,Closed Won,2023-04-27
006_krf1oksod4h91w,Prospecting,2025-06-27
006_krf1oksod4h91w,Proposal,2025-07-18
006_i20vh7ddgu2715,Prospecting,2025-07-17
006_i20vh7ddgu2715,Qualified,2025-07-28
006_i20vh7ddgu2715,Proposal,2025-08-09
006_i20vh7ddgu2715,Negotiation,2025-09-01
006_i20vh7ddgu2715,Closed Lost,2025-09-10
006_6rx49m1r6n9vf3,Prospecting,2024-09-12
006_6rx49m1r6n9vf3,Proposal,2024-09-17
006_hzyujn6ivj7r3w,Prospecting,2024-01-21
006_hzyujn6ivj7r3w,Qualified,2024-02-03
006_hzyujn6ivj7r3w,Proposal,2024-02-26
006_hzyujn6ivj7r3w,Negotiation,2024-03-12
006_hzyujn6ivj7r3w,Closed Won,2024-04-05
006_4liu84d9ry4lne,Prospecting,2025-06-07
006_4liu84d9ry4lne,Qualified,2025-06-16
006_4liu84d9ry4lne,Proposal,2025-06-27
006_4liu84d9ry4lne,Negotiation,2025-07-15
006_ja1fxqj1kubeqy,Prospecting,2024-03-30
006_ja1fxqj1kubeqy,Qualified,2024-04-12
006_d0gl9lyprkmcor,Prospecting,2024-02-06
006_d0gl9lyprkmcor,Qualified,2024-02-26
006_w7jksumpnc4263,Prospecting,2023-06-07
006_w7jksumpnc4263,Qualified,2023-06-30
006_fuxmn026zrktpw,Prospecting,2024-01-08
006_fuxmn026zrktpw,Qualified,2024-01-24
006_fuxmn026zrktpw,Negotiation,2024-02-11
006_sd2fa4qyb22gul,Prospecting,2025-03-09
006_sd2fa4qyb22gul,Qualified,2025-04-01
006_sd2fa4qyb22gul,Proposal,2025-04-20
006_6erjywsptcfaau,Prospecting,2023-03-16
